RUC,RAZON_SOCIAL,REMYPE_DEPARTAMENTO,REMYPE_PROVINCIA,REMYPE_DISTRITO,DOMICILIO_FISCAL,APP_INFORMATICO_DEMANDAS,SIAF,ESTADO_DEUDA,TIPO_DOCUMENTO,DOC_DEVEN_O_SENTEN_JUDI,MONTO_DEUDA,DESC_NIVEL_GOBIERNO,DESC_SECTOR,DESC_PLIEGO,SEC_EJEC,DESC_EJECUTORA,OBSERVACION_GLOSA
10232110509,AYUQUE RODRIGUEZ OLGA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,SIN INFORMACION,NO,SI,SIAF,CONTRATO SUSCRITO (VARIOS),11003109,0.01,GOBIERNO NACIONAL,TRANSPORTES Y COMUNICACIONES,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,1720,PROGRAMA NACIONAL DE TELECOMUNICACIONES - PRONATEL,OS-00001414: AOI00172000437 - PAGO ARRENDAMIENTO NODO HUANCAVELICA
10416005911,URQUIZO VASQUEZ JOSE ALEJANDRO,PIURA,PIURA,PIURA,SIN INFORMACION,NO,SI,SIAF,FACTURA,66,0.01,GOBIERNO LOCAL,PIURA,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,301537,MUNICIPALIDAD DISTRITAL DE TAMBO GRANDE,SERVICIO DE SUPERVICION DEL SERVICIO DEPORTIVO EN EL AA HHBUENOS AIRES - ZONA URBANA TAMBOGRANDE - PIURA - PIURA
10430585181,RUIZ LACHIRA CRISTHIAN RENZO,PIURA,PIURA,CATACAOS,SIN INFORMACION,NO,SI,SIAF,FACTURA,87,0.01,GOBIERNO LOCAL,PIURA,MUNICIPALIDAD DISTRITAL DE EL TALLAN,301533,MUNICIPALIDAD DISTRITAL DE EL TALLAN,POR EL SERVICIO DE MANTENIMIENTO DE ANTENA DE INTERNET
10454278033,QUISPE ZARATE RICHARD KRIS,LAMBAYEQUE,CHICLAYO,CHICLAYO,SIN INFORMACION,NO,SI,SIAF,FACTURA,358,0.01,GOBIERNO NACIONAL,COMERCIO EXTERIOR Y TURISMO,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,1201,MINCETUR - PLAN COPESCO NACIONAL,"Contrato-008-2023-de: ""MEJORAMIENTO DE LOS SERVICIOS TURISTICOS DE ACCESO HACIA LA CATARATA DE GOCTA - DISTRITO DE VA"
10476331931,GIRALDO EGUSQUIZA SANTIAGO JHONATAN,ANCASH,HUARAZ,TARICA,SIN INFORMACION,NO,SI,SIAF,RECIBO POR HONORARIOS PROFESIONALES,44,0.01,GOBIERNO LOCAL,ANCASH,MUNICIPALIDAD DISTRITAL DE QUILLO,300247,MUNICIPALIDAD DISTRITAL DE QUILLO,"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA PARA LA SUPERVISIÓN DEL PROYECTO DE INVERSIÓN DENOMINADO ""MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO DEL CASERIO DE MACASHCA, DISTRITO DE QUILLO"
20101331734,A & R REPRESENTACIONES EIRL,LIMA,LIMA,SAN BORJA,SIN INFORMACION,NO,SI,SIAF,FACTURA,804,0.01,GOBIERNO REGIONAL,GOBIERNOS REGIONALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,1134,REGION LA LIBERTAD-PROYECTO ESPECIAL CHAVIMOCHIC,"INF N °027-2023-GRLL-PECH-SGAPEE-DPTAP-JGC, ADQUISICION DE CONSUMIBLES PARA EQUIPOS DE LABORATORIO DE LA DAP."
20392495291,SUBTERRA INGENIERIA S.A.C.,LIMA,LIMA,MIRAFLORES,SIN INFORMACION,NO,SI,SIAF,FACTURA,313,0.01,GOBIERNO NACIONAL,TRANSPORTES Y COMUNICACIONES,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO - ATU,1717,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO - ATU,Contrato-57-2023-ATU/DISAPLI: SERVICIO DE EVALUACIÓN DEL IMPACTO DEL MÉTODO CONSTRUCTIVO DEL PROYECTO LÍNEA 3 DE LA RED DEL METRO DE LIMA Y CALLAO EN LA ADQUISICIÓN DE PREDIOS Y LIBERACIÓN DE INTERFERENCIAS.
20393896737,CONSTRUCTORA TEOLUZ E.I.R.L.,UCAYALI,ATALAYA,RAYMONDI,SIN INFORMACION,NO,SI,SIAF,FACTURA,827,0.01,GOBIERNO LOCAL,UCAYALI,MUNICIPALIDAD DISTRITAL DE TAHUANIA,301824,MUNICIPALIDAD DISTRITAL DE TAHUANIA,PAGO POR VALORIZACION 01 POR LA EJECUCION DE LA OBRA MEJORAMIENTO DE SERVICIO LOCAL DE USOS MULTIPLES EN LA CCNN CHANCHAMAYO DEL DISTRITO DE TAHUANIA DE LA PROVINCIA DE ATALAYA DEPARTAMENTO DE UCAYALI
20409285377,INVERSIONES MIS GRACAS A DEUS E.I.RL.,TUMBES,ZARUMILLA,ZARUMILLA,SIN INFORMACION,NO,SI,SIAF,FACTURA,181,0.01,GOBIERNO NACIONAL,MUJER Y POBLACIONES VULNERABLES,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,1232,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL (PNCVFS),OC-00000068: ADQUISICIÓN DE FRUTAS Y VERDURAS PARA EL HOGAR DE REFUGIO TEMPORAL DE ZARUMILLA-TUMBES
20483789867,CONSTRUCTORA IDROGO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,TUMBES,TUMBES,TUMBES,SIN INFORMACION,NO,SI,SIAF,FACTSUTRAN - GESTION Y ADMINISTRACION GENERALURA,497,0.01,GOBIERNO LOCAL,TUMBES,MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,301843,MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,POR EL COMPROMISO ANUAL DE POR LA VALORIZACION N016 DE LA OBRA REHABILITACION DEL CAMINO VECINAL 30 12 KM EN LA CARRETERA PANAMERICANA PLATERITOS LA CHOZA DISTRITO DE CANOAS DE PUNTA SAL
